year	month	data-type	region	extent	area	time
1997	8	Goddard	N	7.29	5.09	1997.625
1997	8	Goddard	S	17.68	14.09	1997.625
1997	9	Goddard	N	6.69	4.89	1997.70833333333
1997	9	Goddard	S	18.6	14.59	1997.70833333333
1997	10	Goddard	N	8.34	6.47	1997.79166666667
1997	10	Goddard	S	17.99	14.12	1997.79166666667
1997	11	Goddard	N	10.68	9.07	1997.875
1997	11	Goddard	S	15.73	11.59	1997.875
1997	12	Goddard	N	13.08	11.24	1997.95833333333
1997	12	Goddard	S	10.29	6.99	1997.95833333333
1998	1	Goddard	N	14.72	12.81	1998.04166666667
1998	1	Goddard	S	4.46	3.04	1998.04166666667
1998	2	Goddard	N	15.75	13.77	1998.125
1998	2	Goddard	S	2.99	1.87	1998.125
1998	3	Goddard	N	15.6	13.57	1998.20833333333
1998	3	Goddard	S	4.11	2.71	1998.20833333333
1998	4	Goddard	N	14.89	12.85	1998.29166666667
1998	4	Goddard	S	6.85	5.12	1998.29166666667
1998	5	Goddard	N	13.59	11.4	1998.375
1998	5	Goddard	S	10.33	7.91	1998.375
1998	6	Goddard	N	11.71	9.18	1998.45833333333
1998	6	Goddard	S	13.31	10.34	1998.45833333333
1998	7	Goddard	N	9.42	6.45	1998.54166666667
1998	7	Goddard	S	15.96	12.66	1998.54166666667
1998	8	Goddard	N	7.51	4.69	1998.625
1998	8	Goddard	S	17.88	14.06	1998.625
1998	9	Goddard	N	6.54	4.3	1998.70833333333
1998	9	Goddard	S	18.9	14.84	1998.70833333333
1998	10	Goddard	N	8.45	6.71	1998.79166666667
1998	10	Goddard	S	18.66	14.54	1998.79166666667
1998	11	Goddard	N	10.44	8.88	1998.875
1998	11	Goddard	S	16.3	11.88	1998.875
1998	12	Goddard	N	12.76	10.91	1998.95833333333
1998	12	Goddard	S	10.52	6.8	1998.95833333333
1999	1	Goddard	N	14.36	12.6	1999.04166666667
1999	1	Goddard	S	4.82	3.11	1999.04166666667
1999	2	Goddard	N	15.31	13.45	1999.125
1999	2	Goddard	S	2.97	1.77	1999.125
1999	3	Goddard	N	15.4	13.54	1999.20833333333
1999	3	Goddard	S	3.98	2.58	1999.20833333333
1999	4	Goddard	N	15.08	13.15	1999.29166666667
1999	4	Goddard	S	6.89	5.13	1999.29166666667
1999	5	Goddard	N	13.75	11.66	1999.375
1999	5	Goddard	S	10.27	8.07	1999.375
1999	6	Goddard	N	11.78	9.25	1999.45833333333
1999	6	Goddard	S	13.65	10.83	1999.45833333333
1999	7	Goddard	N	9.49	6.55	1999.54166666667
1999	7	Goddard	S	16.28	13.06	1999.54166666667
1999	8	Goddard	N	7.23	4.75	1999.625
1999	8	Goddard	S	17.96	14.24	1999.625
1999	9	Goddard	N	6.12	4.29	1999.70833333333
